决策树参数调优结果
==================================================

调优时间: 2025-08-27 11:39:17
总耗时: 48.51 秒
测试参数组合数: 125

最优参数组合:
NUM_BINS = 8
MAX_DEPTH = 10
MIN_SPLIT = 30
最佳准确率: 0.7298

所有参数组合结果 (按准确率排序):
NUM_BINS   MAX_DEPTH  MIN_SPLIT  准确率        特征数     
--------------------------------------------------
8          10         30         0.7298     43      
8          10         50         0.7298     43      
8          10         80         0.7293     43      
8          10         100        0.7293     43      
15         12         50         0.7293     43      
15         12         80         0.7293     43      
15         12         100        0.7293     43      
15         12         30         0.7287     43      
15         12         20         0.7277     43      
8          8          30         0.7267     43      
8          8          50         0.7267     43      
8          8          80         0.7267     43      
8          8          100        0.7267     43      
8          10         20         0.7247     43      
12         10         20         0.7247     43      
12         10         30         0.7247     43      
12         10         50         0.7247     43      
12         10         80         0.7247     43      
12         10         100        0.7247     43      
8          12         80         0.7242     43      
8          12         100        0.7242     43      
8          8          20         0.7227     43      
8          12         50         0.7227     43      
15         15         100        0.7222     43      
20         15         50         0.7217     43      
20         15         80         0.7217     43      
20         15         100        0.7217     43      
15         15         50         0.7212     43      
15         15         80         0.7212     43      
20         15         20         0.7212     43      
20         15         30         0.7212     43      
8          12         30         0.7201     43      
15         15         30         0.7201     43      
15         15         20         0.7186     43      
12         12         80         0.7166     43      
12         12         50         0.7161     43      
12         12         100        0.7156     43      
15         10         20         0.7156     43      
15         10         30         0.7156     43      
15         10         50         0.7156     43      
15         10         80         0.7156     43      
15         10         100        0.7156     43      
15         8          20         0.7151     43      
15         8          30         0.7151     43      
15         8          50         0.7151     43      
15         8          80         0.7151     43      
15         8          100        0.7151     43      
12         12         20         0.7146     43      
12         12         30         0.7146     43      
8          5          20         0.7141     43      
8          5          30         0.7141     43      
8          5          50         0.7141     43      
8          5          80         0.7141     43      
8          5          100        0.7141     43      
8          15         80         0.7141     43      
8          15         100        0.7141     43      
10         8          20         0.7141     43      
10         8          30         0.7141     43      
10         8          50         0.7141     43      
10         8          80         0.7141     43      
10         8          100        0.7141     43      
12         8          20         0.7141     43      
12         8          30         0.7141     43      
12         8          50         0.7141     43      
12         8          80         0.7141     43      
12         8          100        0.7141     43      
8          12         20         0.7136     43      
20         12         20         0.7136     43      
20         12         30         0.7136     43      
20         12         50         0.7136     43      
20         12         80         0.7136     43      
20         12         100        0.7136     43      
10         12         80         0.7131     43      
10         12         100        0.7131     43      
10         10         80         0.7126     43      
10         10         100        0.7126     43      
10         15         80         0.7126     43      
10         15         100        0.7126     43      
12         15         100        0.7115     43      
10         10         20         0.7110     43      
10         10         30         0.7110     43      
10         10         50         0.7110     43      
12         15         80         0.7110     43      
8          15         50         0.7105     43      
10         12         30         0.7105     43      
10         12         50         0.7105     43      
10         12         20         0.7090     43      
12         15         50         0.7090     43      
8          15         30         0.7085     43      
20         10         20         0.7060     43      
20         10         30         0.7060     43      
20         10         50         0.7060     43      
20         10         80         0.7060     43      
20         10         100        0.7060     43      
12         15         20         0.7050     43      
12         15         30         0.7039     43      
10         15         50         0.7029     43      
8          15         20         0.7019     43      
10         15         30         0.6979     43      
10         15         20         0.6943     43      
10         5          20         0.6640     43      
10         5          30         0.6640     43      
10         5          50         0.6640     43      
10         5          80         0.6640     43      
10         5          100        0.6640     43      
20         8          20         0.6113     43      
20         8          30         0.6113     43      
20         8          50         0.6113     43      
20         8          80         0.6113     43      
20         8          100        0.6113     43      
12         5          20         0.5936     43      
12         5          30         0.5936     43      
12         5          50         0.5936     43      
12         5          80         0.5936     43      
12         5          100        0.5936     43      
15         5          20         0.5420     43      
15         5          30         0.5420     43      
15         5          50         0.5420     43      
15         5          80         0.5420     43      
15         5          100        0.5420     43      
20         5          20         0.4873     43      
20         5          30         0.4873     43      
20         5          50         0.4873     43      
20         5          80         0.4873     43      
20         5          100        0.4873     43      
